,year,States,GDP_per_capita,Poverty_rate,Unemployment total,Unemployment rate
11,2018,Georgia,538604.6,14.3,204434,4
12,2018,Hawaii,79845.3,8.6,16608,2.4
13,2018,Idaho,70857.3,12.5,24667,2.9
14,2018,Illinois,771695.5,12,286572,4.4
15,2018,Indiana,336327.1,12.3,115774,3.4
16,2018,Iowa,173547.7,8.7,43994,2.6
17,2018,Kansas,158734.4,11.2,50156,3.4
18,2018,Kentucky,187926.6,16.3,86691,4.2
19,2018,Louisiana,237298.3,18.6,101760,4.8
20,2018,Maine,58099.9,11.7,22272,3.2
21,2018,Maryland,367977.4,7.9,124150,3.8
22,2018,Massachusetts,501541.5,8.3,132571,3.5
23,2018,Michigan,466559.4,13,205713,4.2
24,2018,Minnesota,336892.2,8,92432,3
25,2018,Mississippi,100872.7,19.8,62698,4.9
26,2018,Missouri,284540.3,13.4,98486,3.2
27,2018,Montana,46584.1,12.4,19927,3.7
28,2018,Nebraska,116792.9,8.7,30128,2.9
29,2018,Nevada,150448,11.8,65408,4.4
30,2018,New Hampshire,75433,6.5,20184,2.6
31,2018,New Jersey,550059.5,8.9,184074,4
32,2018,New Mexico,90933.6,19.5,46576,4.9
33,2018,New York,1458382.4,12.5,401914,4.1
34,2018,North Carolina,501564.9,13.6,196268,4
35,2018,North Dakota,55914.2,11,9868,2.4
36,2018,Ohio,597925.5,12.5,261865,4.5
37,2018,Oklahoma,197453.2,14.1,60005,3.3
38,2018,Oregon,214902.5,11.9,83561,4
39,2018,Pennsylvania,704027.8,10.7,287771,4.4
40,2018,Rhode Island,52553.3,11.3,23134,4
41,2018,South Carolina,207101.2,13.8,76666,3.4
42,2018,South Dakota,46300.3,11.7,12789,2.8
43,2018,Tennessee,323541.6,14.6,113261,3.5
44,2018,Texas,1728304,14.9,535333,3.9
45,2018,Utah,164622.1,8.9,46199,2.9
46,2018,Vermont,29602.2,9.2,8790,2.5
47,2018,Virginia,477915.2,9.3,130779,3
48,2018,Washington,515029.1,10.3,168546,4.4
49,2018,West Virginia,73170.4,16.9,40813,5.1
50,2018,Wisconsin,299062.6,10.8,93239,3
51,2018,Wyoming,38080.1,10.1,11875,4.1
1,2019,Alabama,203432.7,15.6,72498,3.2
2,2019,Alaska,53433.8,9.9,19801,5.6
3,2019,Arizona,325395.3,13.5,165058,4.8
4,2019,Arkansas,117126.2,15.7,47426,3.5
5,2019,California,2729225.8,11.8,795311,4.1
6,2019,Colorado,358438.5,8.9,82755,2.7
7,2019,Connecticut,251568.2,8.2,69870,3.6
8,2019,Delaware,64143.5,9.1,17495,3.6
9,2019,District of Columbia,124597.2,N/A,22057,5.5
10,2019,Florida,965672.5,11.4,334148,3.2
